msafips,unaval
40,-1.1351745
80,-.92317754
120,-.62753022
160,-.12821484
200,-.67917997
220,-.32271644
240,-.24457403
280,.47135779
320,-1.0619103
440,-.76999187
460,-.38218641
480,1.9515378
520,-1.0348587
560,1.8430465
580,-.78192461
600,-.7355997
640,-1.0499167
680,-.086641952
720,-.1969049
730,-.34340969
740,2.2570782
760,.35169491
840,-.33894983
870,1.1361815
880,-.69281405
920,1.2257538
960,.39049095
1000,-.55098766
1010,-.95133764
1040,-1.1609759
1080,.4849267
1120,.36980662
1125,.80526233
1150,1.2162861
1240,.074070469
1260,-.92471159
1280,-.32984281
1305,.88003772
1320,-.63470578
1350,-.57965076
1360,-1.0602244
1400,-1.1586964
1440,1.6200882
1480,2.1519713
1520,-1.0061641
1540,-.2018193
1560,-.010822447
1600,.6575343
1620,.41780382
1640,-.7421816
1680,.68049431
1720,-.17819172
1740,-.95969146
1760,-.50991923
1800,-.93729806
1840,-1.1094736
1880,.56375957
1890,.93764061
1920,-.79573065
1960,-1.0115551
2000,-1.1781083
2020,1.6240441
2030,-.45220819
2040,-1.1186836
2080,-.43939355
2120,-.9364239
2160,-.072221011
2180,-.79736346
2190,.56448901
2200,-.6975674
2240,.39430952
2320,-.98543715
2330,-.91517985
2335,.4002758
2340,-1.1574092
2360,1.1741046
2400,1.7173855
2440,-.81863803
2520,-1.0878305
2560,-.49632207
2580,.13568991
2620,-.37369838
2640,-.77591074
2655,-.10292917
2670,.2449521
2680,2.3389347
2700,1.276354
2710,1.8308979
2720,-.29617938
2750,1.535674
2760,-1.1063987
2800,-.99593598
2840,-.62057769
2880,-.42578468
2900,-.50140071
2920,2.3103807
2960,.25802884
2975,.69816804
2980,-.25096262
2995,.81154948
3000,-.79007655
3040,-.37463829
3060,-.75218177
3080,-.1304225
3120,-1.0801498
3150,.083669461
3160,-.62108254
3180,-.34425652
3200,-.89824992
3240,-.095572881
3280,-.13023271
3290,-.23956993
3360,-.8315571
3400,1.2001421
3440,-.081044547
3480,-1.1591965
3500,-1.0581375
3560,-.69367999
3580,-.79701841
3600,1.0021609
3610,.17548153
3620,-1.0013908
3640,.36517945
3660,1.3773288
3680,.31438884
3710,-.98250735
3720,-.76244658
3740,-1.0886693
3760,-.95322627
3800,1.0293825
3810,-1.0701203
3840,.58782434
3850,-1.1523026
3870,.45826027
3880,-1.1325142
3920,-.0012446548
3960,1.0781087
3980,.28843415
4000,-.66638368
4040,-.9041093
4120,.28330076
4150,-.96575588
4240,.020839801
4280,-.94910932
4320,-1.1564001
4360,-1.1523782
4400,-.5815441
4420,-.72552788
4480,1.2441508
4520,-.62922645
4600,-1.2056216
4640,-.17556453
4680,-.85503227
4720,-.69290477
4800,-1.0170971
4880,-1.1832607
4890,2.058506
4900,1.7994883
4920,-.65338743
4940,-.7486034
5000,2.3824377
5080,.74096233
5120,-.32151911
5160,.15375209
5170,-.55464667
5200,-.42921591
5240,-.72044879
5330,1.6859825
5345,2.3346632
5360,-.62265593
1160,.89290768
5520,1.1615559
5560,2.300451
5600,.67665559
5640,.20973504
5660,.18411401
5720,1.5884122
5775,1.6775552
5790,-.42171833
5880,-1.1112698
5910,.58583689
5920,-1.0699278
5960,.47453654
6020,.63181412
6080,1.2492081
6120,-.99243695
6160,-.74856877
6200,-.57025021
6240,-.36913943
6280,.18705396
6320,.4532629
6340,.29672661
6400,1.1023875
6440,.54130536
6480,-.57365495
6520,1.5794725
6600,1.3213046
6640,-.84521127
6660,-.21116118
6680,-.45079324
6690,1.2999891
6720,1.4120884
6740,-.64947534
6760,-.8120265
6780,.55791795
6800,.63062781
6840,.20745976
6880,-1.12415
6895,-.35800421
6960,-.45504224
6980,-.25698656
7000,-.93283719
7040,-.70508713
7080,.33006093
7120,1.8873276
7160,2.1638865
7240,-1.0778612
7320,1.7597307
7360,2.2179508
7400,1.7778604
7460,1.8734943
7480,2.8242903
7485,2.154453
7490,.52592891
7500,1.7403946
7510,1.9111474
7520,1.6040052
7560,.12853549
7600,.82797039
7610,.7605114
7640,-.90488064
7720,-1.0831436
7760,-1.0681384
7800,-.73021764
7840,.060296461
7920,-.91511416
8000,.0486339
8050,-.64474422
8080,.32364082
8120,-.65967005
8140,-.14913078
8160,-.38634706
8200,.50106722
8280,.73411733
8320,-.99142307
8360,-.69048387
8400,-.33384988
8440,-.99405563
8480,-.67207021
8520,-.14061129
8560,-.93091887
8640,-.75158441
8680,-.39340392
8720,1.0883762
8735,2.5243888
8760,.45740914
8780,-.31158867
8840,-.5702709
8920,-1.0798054
8940,-.66879535
8960,1.7879461
9000,.82093608
9040,-1.1491218
9080,-1.0791007
9160,-.53634298
9280,-.65709263
9320,-.73184502
9340,-.57256889
9360,-.90721875
